,rating,date,variation,verified_reviews,feedback,verified_reviews_tokenized,verified_reviews_clean
0,5,2018-07-31,Charcoal Fabric ,love my echo,1,"['love', 'my', 'echo']",
2,4,2018-07-31,Walnut Finish ,sometimes while playing a game you can answer a question correctly but alexa says you got it wrong and answers the same as you  i like being able to turn lights on and off while away from home,1,"['sometimes', 'while', 'playing', 'a', 'game', 'you', 'can', 'answer', 'a', 'question', 'correctly', 'but', 'alexa', 'says', 'you', 'got', 'it', 'wrong', 'and', 'answers', 'the', 'same', 'as', 'you', 'i', 'like', 'being', 'able', 'to', 'turn', 'lights', 'on', 'and', 'off', 'while', 'away', 'from', 'home']",
3,5,2018-07-31,Charcoal Fabric ,i have had a lot of fun with this thing my  yr old learns about dinosaurs i control the lights and play games like categories has nice sound when playing music as well,1,"['i', 'have', 'had', 'a', 'lot', 'of', 'fun', 'with', 'this', 'thing', 'my', 'yr', 'old', 'learns', 'about', 'dinosaurs', 'i', 'control', 'the', 'lights', 'and', 'play', 'games', 'like', 'categories', 'has', 'nice', 'sound', 'when', 'playing', 'music', 'as', 'well']",
5,5,2018-07-31,Heather Gray Fabric ,i received the echo as a gift i needed another bluetooth or something to play music easily accessible and found this smart speaker can’t wait to see what else it can do,1,"['i', 'received', 'the', 'echo', 'as', 'a', 'gift', 'i', 'needed', 'another', 'bluetooth', 'or', 'something', 'to', 'play', 'music', 'easily', 'accessible', 'and', 'found', 'this', 'smart', 'speaker', 'can\xe2\x80\x99t', 'wait', 'to', 'see', 'what', 'else', 'it', 'can', 'do']",
6,3,2018-07-31,Sandstone Fabric ,without having a cellphone i cannot use many of her features i have an ipad but do not see that of any use  it is a great alarm  if u r almost deaf you can hear her alarm in the bedroom from out in the living room so that is reason enough to keep herit is fun to ask random questions to hear her response  she does not seem to be very smartbon politics yet,1,"['without', 'having', 'a', 'cellphone', 'i', 'can', 'not', 'use', 'many', 'of', 'her', 'features', 'i', 'have', 'an', 'ipad', 'but', 'do', 'not', 'see', 'that', 'of', 'any', 'use', 'it', 'is', 'a', 'great', 'alarm', 'if', 'u', 'r', 'almost', 'deaf', 'you', 'can', 'hear', 'her', 'alarm', 'in', 'the', 'bedroom', 'from', 'out', 'in', 'the', 'living', 'room', 'so', 'that', 'is', 'reason', 'enough', 'to', 'keep', 'herit', 'is', 'fun', 'to', 'ask', 'random', 'questions', 'to', 'hear', 'her', 'response', 'she', 'does', 'not', 'seem', 'to', 'be', 'very', 'smartbon', 'politics', 'yet']",
7,5,2018-07-31,Charcoal Fabric ,i think this is the th one ive purchased im working on getting one in every room of my house i really like what features they offer specifily playing music on all echos and controlling the lights throughout my house,1,"['i', 'think', 'this', 'is', 'the', 'th', 'one', 'ive', 'purchased', 'im', 'working', 'on', 'getting', 'one', 'in', 'every', 'room', 'of', 'my', 'house', 'i', 'really', 'like', 'what', 'features', 'they', 'offer', 'specifily', 'playing', 'music', 'on', 'all', 'echos', 'and', 'controlling', 'the', 'lights', 'throughout', 'my', 'house']",
8,5,2018-07-30,Heather Gray Fabric ,looks great,1,"['looks', 'great']",
9,5,2018-07-30,Heather Gray Fabric ,love it i’ve listened to songs i haven’t heard since childhood i get the news weather information it’s great,1,"['love', 'it', 'i\xe2\x80\x99ve', 'listened', 'to', 'songs', 'i', 'haven\xe2\x80\x99t', 'heard', 'since', 'childhood', 'i', 'get', 'the', 'news', 'weather', 'information', 'it\xe2\x80\x99s', 'great']",
10,5,2018-07-30,Charcoal Fabric ,i sent it to my  year old dad and he talks to it constantly,1,"['i', 'sent', 'it', 'to', 'my', 'year', 'old', 'dad', 'and', 'he', 'talks', 'to', 'it', 'constantly']",
11,5,2018-07-30,Charcoal Fabric ,i love it learning knew things with it eveyday still figuring out how everything works but so far its been easy to use and understand she does make me laugh at times,1,"['i', 'love', 'it', 'learning', 'knew', 'things', 'with', 'it', 'eveyday', 'still', 'figuring', 'out', 'how', 'everything', 'works', 'but', 'so', 'far', 'its', 'been', 'easy', 'to', 'use', 'and', 'understand', 'she', 'does', 'make', 'me', 'laugh', 'at', 'times']",
12,5,2018-07-30,Oak Finish ,i purchased this for my mother who is having knee problems now to give her something to do while trying to over come not getting around so fast like she didshe enjoys all the little and big things it can doalexa play this song what time is it and where and how to cook this and that,1,"['i', 'purchased', 'this', 'for', 'my', 'mother', 'who', 'is', 'having', 'knee', 'problems', 'now', 'to', 'give', 'her', 'something', 'to', 'do', 'while', 'trying', 'to', 'over', 'come', 'not', 'getting', 'around', 'so', 'fast', 'like', 'she', 'didshe', 'enjoys', 'all', 'the', 'little', 'and', 'big', 'things', 'it', 'can', 'doalexa', 'play', 'this', 'song', 'what', 'time', 'is', 'it', 'and', 'where', 'and', 'how', 'to', 'cook', 'this', 'and', 'that']",
13,5,2018-07-30,Charcoal Fabric ,love love love,1,"['love', 'love', 'love']",
14,5,2018-07-30,Oak Finish ,just what i expected,1,"['just', 'what', 'i', 'expected']",
15,5,2018-07-30,Heather Gray Fabric ,i love it wife hates it,1,"['i', 'love', 'it', 'wife', 'hates', 'it']",
16,5,2018-07-30,Heather Gray Fabric ,really happy with this purchase  great speaker and easy to set up,1,"['really', 'happy', 'with', 'this', 'purchase', 'great', 'speaker', 'and', 'easy', 'to', 'set', 'up']",
17,5,2018-07-30,Heather Gray Fabric ,we have only been using alexa for a couple of days and are having a lot of fun with our new toy it like having a new household member we are trying to learn all the different featues and benefits that come with it,1,"['we', 'have', 'only', 'been', 'using', 'alexa', 'for', 'a', 'couple', 'of', 'days', 'and', 'are', 'having', 'a', 'lot', 'of', 'fun', 'with', 'our', 'new', 'toy', 'it', 'like', 'having', 'a', 'new', 'household', 'member', 'we', 'are', 'trying', 'to', 'learn', 'all', 'the', 'different', 'featues', 'and', 'benefits', 'that', 'come', 'with', 'it']",
18,5,2018-07-30,Charcoal Fabric ,we love the size of the nd generation echo still needs a little improvement on sound,1,"['we', 'love', 'the', 'size', 'of', 'the', 'nd', 'generation', 'echo', 'still', 'needs', 'a', 'little', 'improvement', 'on', 'sound']",
19,4,2018-07-30,Sandstone Fabric ,i liked the original echo this is the same but shorter and with greater fabriccolor choices i miss the volume ring on top now its just the plusminus buttons not a big deal but the ring w as comforting  other than that well i do like the use of a standard usb charger port instead of the previous round pin other than that i guess it sounds the same seems to work the same still answers to alexaechocomputer so whats not to like ,1,"['i', 'liked', 'the', 'original', 'echo', 'this', 'is', 'the', 'same', 'but', 'shorter', 'and', 'with', 'greater', 'fabriccolor', 'choices', 'i', 'miss', 'the', 'volume', 'ring', 'on', 'top', 'now', 'its', 'just', 'the', 'plusminus', 'buttons', 'not', 'a', 'big', 'deal', 'but', 'the', 'ring', 'w', 'as', 'comforting', 'other', 'than', 'that', 'well', 'i', 'do', 'like', 'the', 'use', 'of', 'a', 'standard', 'usb', 'charger', 'port', 'instead', 'of', 'the', 'previous', 'round', 'pin', 'other', 'than', 'that', 'i', 'guess', 'it', 'sounds', 'the', 'same', 'seems', 'to', 'work', 'the', 'same', 'still', 'answers', 'to', 'alexaechocomputer', 'so', 'whats', 'not', 'to', 'like']",
20,5,2018-07-30,Charcoal Fabric ,love the echo and how good the music sounds playing off it alexa understands most commands but it is difficult at times for her to find specific playlists or songs on spotify she is good with amazon music but is lacking in other major programs,1,"['love', 'the', 'echo', 'and', 'how', 'good', 'the', 'music', 'sounds', 'playing', 'off', 'it', 'alexa', 'understands', 'most', 'commands', 'but', 'it', 'is', 'difficult', 'at', 'times', 'for', 'her', 'to', 'find', 'specific', 'playlists', 'or', 'songs', 'on', 'spotify', 'she', 'is', 'good', 'with', 'amazon', 'music', 'but', 'is', 'lacking', 'in', 'other', 'major', 'programs']",
21,5,2018-07-30,Charcoal Fabric ,we love alexa we use her to play music play radio through itunes play podcasts through anypod and set reminders we listen to our flash briefing of news and weather every morning we rely on our custom lists we like being able to voice control the volume were sure well continue to find new usessometimes its a bit frustrating when alexa doesnt understand what were saying,1,"['we', 'love', 'alexa', 'we', 'use', 'her', 'to', 'play', 'music', 'play', 'radio', 'through', 'itunes', 'play', 'podcasts', 'through', 'anypod', 'and', 'set', 'reminders', 'we', 'listen', 'to', 'our', 'flash', 'briefing', 'of', 'news', 'and', 'weather', 'every', 'morning', 'we', 'rely', 'on', 'our', 'custom', 'lists', 'we', 'like', 'being', 'able', 'to', 'voice', 'control', 'the', 'volume', 'were', 'sure', 'well', 'continue', 'to', 'find', 'new', 'usessometimes', 'its', 'a', 'bit', 'frustrating', 'when', 'alexa', 'doesnt', 'understand', 'what', 'were', 'saying']",
